Gene	Transcripts
ACVR2A	NM_001616.5
ATF6B	NM_001136153.2
KRT14	NM_000526.5
CUL4A	NM_003589.3
IRF2	NM_002199.4
MBD3L2	NM_144614.3
WFDC2	NM_006103.4
C17orf97	NM_001013672.5
CCDC112	NM_152549.2
GPR139	NM_001002911.3
ATP13A1	NM_020410.3
PIK3C2A	NM_002645.4
SEC11A	NM_014300.4
NBPF3	NM_032264.5
SPRY4	NM_001127496.2
PERCC1	NM_001365310.2
MUC1	NM_002456.6
GLOD4	NM_016080.3
GPATCH8	NM_001002909.4
LIN37	NM_019104.3
ZNF579	NM_152600.3
HAUS8	NM_001011699.1
IFIT1B	NM_001010987.2
BFAR	NM_016561.3
ASB18	NM_212556.3
LRRC32	NM_005512.2
MAL	NM_002371.4
PLAC1	NM_021796.4
PRR23B	NM_001013650.2
TMEM220	NM_001004313.3
ANKS1B	NM_020140.3
TNNC2	NM_003279.3
FGF4	NM_002007.4
TRIM48	NM_024114.5
ISYNA1	NM_016368.5
ZNF350	NM_021632.4
ZNF587	NM_032828.4
SPACA1	NM_030960.3
EEF1AKMT4-ECE2	NM_014693.4
TERB2	NM_152448.3
ABRAXAS1	NM_139076.3
NR4A1	NM_001202233.1
KPNA6	NM_012316.5
TRIM62	NM_018207.3
FXYD1	NM_021902.4
SLC19A2	NM_006996.3
TTC5	NM_138376.3
C12orf50	NM_152589.3
LSMEM1	NM_182597.3
SLBP	NM_006527.4
ATG9A	NM_024085.5
POLDIP3	NM_032311.5
SNTB1	NM_021021.4
GPR32	NM_001506.2
WSB2	NM_018639.4
GGH	NM_003878.3
TAS2R1	NM_019599.2
CCDC15	NM_025004.3
PSMC5	NM_002805.6
CENPA	NM_001809.4
ZBTB48	NM_005341.4
SLC25A35	NM_201520.3
EPSTI1	NM_001002264.4
MTA2	NM_004739.4
FBXO2	NM_012168.6
ALDH5A1	NM_001080.3
GATAD2B	NM_020699.4
CLEC4M	NM_014257.5
VSIG10L	NM_001163922.2
JMJD4	NM_023007.2
PGAP3	NM_033419.5
TNNT2	NM_000364.4
RGS9BP	NM_207391.3
CEACAM1	NM_001712.5
CLDN3	NM_001306.4
PAN3	NM_175854.8
CPT1A	NM_001876.4
ZNF16	NM_006958.3
KLF6	NM_001160124.2
NGRN	NM_001033088.2
ITGA1	NM_181501.2
GRK4	NM_005307.3
ZKSCAN7	NM_018651.4
PIGU	NM_080476.4
MYBPC2	NM_004533.4
CNTN5	NM_014361.4
WFS1	NM_001145853.1
RGS3	NM_017790.4
ASGR2	NM_080914.2
BTNL3	NM_197975.3
CCDC65	NM_033124.5
CBY3	NM_001164444.2
ARHGEF18	NM_015318.4
COX6B1	NM_001863.5
GPX3	NM_001329790.2
SEC14L4	NM_174977.4
FGF11	NM_004112.4
SHROOM1	NM_133456.2
ISG20	NM_002201.6
IER3	NM_003897.4
DCC	NM_005215.4
CNPPD1	NM_015680.6
ZNF7	NM_003416.4
NHEJ1	NM_024782.2
NPY2R	NM_000910.4
UBE2V1	NM_021988.6
HTATIP2	NM_001098521.1
DEFB108B	NM_001002035.2
MS4A13	NM_001012417.3
SLC18A1	NM_001135691.2
TTI1	NM_014657.3
MAP1LC3B	NM_022818.5
PPM1L	NM_139245.4
POLDIP2	NM_015584.5
USP10	NM_001272075.2
C11orf96	NM_001145033.2
BTLA	NM_181780.4
TRIM77	NM_001146162.1
PMEL	NM_006928.4
EFCAB11	NM_145231.4
ARF4	NM_001660.4
TADA2B	NM_152293.3
XAGE3	NM_133179.3
POTEC	NM_001137671.1
TTPA	NM_000370.3
CISD3	NM_001136498.2
FAM133B	NM_001040057.3
DYTN	NM_001093730.1
NUTM2E	NM_001355263.1
SLC26A8	NM_001193476.2
CHMP6	NM_024591.5
PCDHB15	NM_018935.4
PABPC1L2A	NM_001012977.3
BCL2L13	NM_015367.4
NECAB2	NM_019065.2
FAT3	NM_001008781.2
DEFB119	NM_153289.4
ERBB4	NM_001042599.1
MCTP1	NM_024717.5
XRCC4	NM_022550.3
MAOB	NM_000898.5
GDI1	NM_001493.3
TMED10	NM_006827.6
DAD1	NM_001344.4
TBL1XR1	NM_024665.6
DNAJB4	NM_001317099.1
FZD9	NM_003508.3
DIMT1	NM_014473.4
LPIN2	NM_014646.2
THAP10	NM_020147.4
FAM160B2	NM_001354250.2
HAUS3	NM_024511.7
GZF1	NM_022482.5
ADGRG3	NM_170776.5
MRTFA	NM_020831.6
GAGE12J	NM_001098406.2
CSTB	NM_000100.3
BRSK1	NM_032430.2
IL6	NM_000600.5
C6orf226	NM_001008739.2
USF1	NM_007122.5
HACD1	NM_014241.4
YWHAH	NM_003405.4
CDCP2	NM_201546.4
OR10G7	NM_001004463.1
NLRP4	NM_134444.5
OR13H1	NM_001004486.1
LRRC20	NM_018239.4
MGAT4D	NM_001277353.2
WDR97	NM_001316309.2
JPH3	NM_001271604.3
ZNF683	NM_173574.3
RPS27	NM_001030.6
DCTN4	NM_001135643.1
EFHD1	NM_025202.4
LATS1	NM_004690.4
THSD7B	NM_001316349.2
SLAIN1	NM_144595.4
GPAT3	NM_032717.5
KIAA1191	NM_020444.5
RSAD1	NM_018346.3
SPN	NM_001030288.3
TSTD1	NM_001113207.2
POP1	NM_015029.2
CCDC179	NM_001195637.2
MMADHC	NM_015702.3
PRSS54	NM_001080492.1
GPR55	NM_005683.4
INIP	NM_021218.3
ABR	NM_001092.5
OR10G2	NM_001005466.2
CCDC18	NM_206886.4
INTS13	NM_018164.3
IL2	NM_000586.3
CYP26A1	NM_000783.4
ZAP70	NM_001079.3
TBC1D5	NM_014744.2
PHETA2	NM_001002034.3
C12orf73	NM_001135570.3
CPNE2	NM_152727.6
CD8A	NM_001768.6
MTLN	NM_001355251.2
SYT5	NM_003180.3
LZTS1	NM_021020.5
LYZL6	NM_020426.4
SLC13A3	NM_001011554.3
ZSCAN30	NM_001112734.4
COL5A3	NM_015719.4
PMVK	NM_006556.4
CLPX	NM_006660.5
UBALD1	NM_145253.3
MPV17	NM_002437.5
PMM1	NM_002676.3
ZNF431	NM_133473.4
BCL2L2-PABPN1	NM_001199864.2
RCE1	NM_005133.3
LRIG1	NM_015541.2
TM4SF20	NM_024795.4
CALN1	NM_031468.4
GPRC5D	NM_018654.1
UBE4B	NM_006048.5
EIF4ENIF1	NM_019843.4
IL10	NM_000572.3
CRISPLD1	NM_031461.6
GABBR1	NM_001319053.1
GOLGA6L10	NM_001164465.3
TOPORS	NM_005802.5
AP1B1	NM_001127.3
MRPS22	NM_020191.4
AK9	NM_001145128.2
KCTD18	NM_152387.4
VMAC	NM_001017921.4
ALB	NM_000477.7
CTXND1	NM_001352888.2
TDO2	NM_005651.4
DZIP1	NM_014934.5
SLC26A2	NM_000112.4
FAM43B	NM_207334.3
ARHGEF1	NM_199002.2
MYOM2	NM_003970.4
EEF1AKMT4	NM_032331.3
DNA2	NM_001080449.3
TIMP4	NM_003256.4
ZNF154	NM_001085384.3
ADA	NM_000022.4
H3C10	NM_003536.2
ZNF441	NM_152355.3
BHLHA15	NM_177455.3
ATP6V1B2	NM_001693.4
CBX3	NM_007276.5
BAI3	NM_001704.3
PDLIM3	NM_014476.5
C11orf95	NM_001144936.2
APOE	NM_000041.4
HYI	NM_031207.6
DRAM1	NM_018370.3
RTN4	NM_001321859.2
TNKS1BP1	NM_033396.3
ZNF585A	NM_152655.3
HEATR6	NM_022070.5
PGAM4	NM_001029891.3
CCT5	NM_001306153.1
GRM3	NM_000840.2
EVL	NM_001330221.2
CCNP	NM_024877.4
CIAPIN1	NM_020313.4
SCARB1	NM_005505.5
RASGRP1	NM_005739.4
ADGRF4	NM_153838.5
DNAJA2	NM_005880.4
TXNRD1	NM_003330.4
BTF3L4	NM_152265.5
THAP6	NM_144721.6
GLRX5	NM_016417.3
ZNF219	NM_001101672.2
STX5	NM_003164.5
RSF1	NM_016578.3
OTUD6B	NM_016023.5
CLVS1	NM_173519.3
ZNF787	NM_001002836.4
ANKS1A	NM_015245.3
KMT2D	NM_003482.3
LILRA5	NM_181985.4
KIF21B	NM_001252100.2
SERPINB9	NM_004155.6
ARHGEF6	NM_004840.3
EHD3	NM_014600.3
DLK2	NM_023932.4
CSF2RA	NM_001161529.1
NFIX	NM_002501.4
RUNDC3B	NM_138290.3
AP4S1	NM_001128126.3
PADI1	NM_013358.3
WDR83	NM_032332.4
CDH22	NM_021248.3
FMN1	NM_001103184.4
GLRB	NM_000824.5
HTR1B	NM_000863.3
SLC24A1	NM_004727.3
ZNF652	NM_014897.2
TMEM251	NM_001098621.3
RNF4	NM_002938.5
PROX2	NM_001080408.2
NFKBIE	NM_004556.3
AP5M1	NM_018229.4
CLPP	NM_006012.4
S100A3	NM_002960.2
TM4SF19	NM_138461.4
MPDU1	NM_001330073.1
NSD1	NM_172349.2
RPL36	NM_015414.4
ZNF24	NM_006965.4
ACP1	NM_004300.4
TRIM29	NM_012101.4
A1CF	NM_014576.4
KBTBD12	NM_207335.3
C5orf22	NM_018356.3
HSFX4	NM_001351114.1
SPDYE2	NM_001031618.3
CAPS2	NM_001286547.3
SLC8B1	NM_024959.3
WWC2	NM_024949.6
B9D1	NM_015681.5
MYT1	NM_004535.3
CRISP1	NM_001131.3
HIVEP3	NM_024503.5
ZNF773	NM_198542.3
SHFL	NM_018381.4
CXorf21	NM_025159.3
IFT43	NM_052873.3
C14orf93	NM_021944.4
MBD3L4	NM_001164419.1
TNNT3	NM_006757.4
EXOC3L2	NM_138568.4
KHDC4	NM_014949.4
EMB	NM_198449.3
DPH3P1	NM_080750.4
COL26A1	NM_133457.4
NOX5	NM_024505.4
DMAC2	NM_018035.3
OR52R1	NM_001005177.3
ATG2A	NM_015104.3
PSG2	NM_031246.4
RPP14	NM_007042.5
DUSP3	NM_004090.4
CFAP20	NM_013242.3
NPAT	NM_002519.3
IL20RA	NM_014432.3
TNFRSF1A	NM_001065.4
BEAN1	NM_001136106.5
NAGA	NM_000262.3
PAXX	NM_183241.3
RNF8	NM_003958.4
GTF2I	NM_032999.4
CACHD1	NM_020925.4
ST3GAL6	NM_006100.3
SNX33	NM_153271.2
SPTBN4	NM_020971.3
COL1A2	NM_000089.4
THBS4	NM_001306212.1
OAT	NM_000274.4
COMP	NM_000095.3
GP5	NM_004488.2
FAM171A2	NM_198475.3
CEP162	NM_014895.4
RHOV	NM_133639.4
STX8	NM_004853.3
NCL	NM_005381.3
CPA6	NM_020361.5
C5AR2	NM_018485.3
FRG2	NM_001005217.2
RALYL	NM_001100391.2
GH2	NM_002059.5
LEXM	NM_152607.3
TACC3	NM_006342.3
RNF157	NM_052916.3
SNX15	NM_013306.5
KLHL23	NM_144711.6
ODF4	NM_001319953.2
KIAA1755	NM_001029864.2
SALL3	NM_171999.3
PTPN22	NM_015967.7
NTNG2	NM_032536.4
GRTP1	NM_024719.4
SGCD	NM_000337.5
NUDT19	NM_001105570.1
GADD45G	NM_006705.4
NUP214	NM_005085.4
CTSG	NM_001911.3
PIM1	NM_001243186.2
CHMP7	NM_152272.5
CYP2E1	NM_000773.4
ZNF84	NM_003428.5
PSORS1C1	NM_014068.3
ANGPTL1	NM_004673.4
ERP44	NM_015051.3
THAP9	NM_024672.6
PFDN1	NM_002622.5
SLC8A3	NM_001130417.3
P4HA3	NM_182904.5
NPIPB9	NM_001287250.1
ABCA3	NM_001089.3
S100A13	NM_005979.2
CABP4	NM_001300895.2
BCL2L15	NM_001010922.3
ASPG	NM_001080464.3
CYP4F2	NM_001082.5
TMEM268	NM_153045.4
TWF2	NM_007284.4
AGO1	NM_001317122.1
CBARP	NM_152769.3
SLC25A38	NM_017875.4
PEX6	NM_000287.4
NMBR	NM_001324307.2
PRL	NM_000948.6
BCL6	NM_001706.5
PSG8	NM_001130167.2
RAE1	NM_001015885.1
KHDC3L	NM_001017361.3
DGKD	NM_003648.3
ANAPC16	NM_173473.4
INTS1	NM_001080453.3
ADGRV1	NM_032119.4
IGLL1	NM_020070.4
SSC5D	NM_001144950.2
LUZP1	NM_033631.4
MPHOSPH9	NM_022782.4
LONRF3	NM_024778.5
ELAPOR2	NM_152748.4
MRPS34	NM_023936.2
NUDT18	NM_024815.4
SERTM1	NM_203451.3
AASDH	NM_181806.4
WASHC3	NM_016053.4
YIPF2	NM_024029.5
HS3ST6	NM_001009606.4
CLIC3	NM_004669.3
NRK	NM_198465.4
CORO2B	NM_006091.5
MPLKIP	NM_138701.4
PCDHB2	NM_018936.4
DDO	NM_001368170.1
ATAD2	NM_014109.4
METTL21A	NM_145280.6
RFPL4B	NM_001013734.3
PAX2	NM_000278.5
CYTIP	NM_004288.5
H3C8	NM_003534.2
CRYGD	NM_006891.4
NAT1	NM_000662.8
CHST15	NM_015892.5
KCNA7	NM_031886.2
CDC14B	NM_033331.4
FNTA	NM_002027.3
LUC7L	NM_201412.2
B4GALNT2	NM_153446.3
SLC25A30	NM_001010875.4
SIK3	NM_025164.6
TP53	NM_000546.5
FAM81B	NM_152548.3
REV1	NM_016316.4
BORA	NM_024808.5
SLC6A6	NM_003043.5
ZDHHC5	NM_015457.3
XDH	NM_000379.4
ALG11	NM_001004127.3
RUFY4	NM_198483.3
TRA2B	NM_004593.3
CTSW	NM_001335.4
OXTR	NM_000916.3
FAM149A	NM_001006655.3
DST	NM_001723.6
OR2G6	NM_001013355.1
PIK3C2G	NM_004570.5
ZNF558	NM_144693.3
HMG20A	NM_018200.3
ADGRE2	NM_001271052.1
GAGE2E	NM_001127200.3
CD164	NM_006016.6
DMC1	NM_007068.4
P2RY12	NM_022788.4
INO80B	NM_031288.4
CREBBP	NM_004380.3
RPL22L1	NM_001099645.2
ELAVL1	NM_001419.3
IL2RB	NM_000878.5
CPEB4	NM_030627.4
UBE2Q2	NM_173469.4
OR5T2	NM_001004746.1
MRPL17	NM_022061.4
CACNG2	NM_006078.4
TEX13A	NM_031274.4
OR51Q1	NM_001004757.2
FUOM	NM_198472.3
TCF21	NM_198392.3
PPP1R15B	NM_032833.4
SNUPN	NM_005701.4
VANGL2	NM_020335.3
LRRC4	NM_022143.5
CCDC34	NM_030771.2
C9orf57	NM_001128618.2
UBC	NM_021009.7
GOLGA8M	NM_001282468.1
NPIPA1	NM_006985.4
ZNF239	NM_001099282.2
FAM120C	NM_017848.6
PSMD8	NM_002812.4
CCDC200	NM_001363254.1
IFNA13	NM_006900.4
PPP4C	NM_002720.3
MUC5AC	NM_001304359.2
TRMO	NM_016481.5
UBL4B	NM_203412.2
MVB12B	NM_033446.3
MID2	NM_012216.4
DDIAS	NM_145018.4
DCANP1	NM_130848.3
KIF24	NM_194313.4
THBS3	NM_007112.5
OR6N1	NM_001005185.1
DRICH1	NM_016449.4
ZBTB6	NM_006626.6
COQ3	NM_017421.4
TCEAL5	NM_001012979.3
PDCL	NM_005388.5
C11orf30	NM_020193.4
KIRREL3	NM_032531.4
POLM	NM_013284.4
NDUFAF5	NM_001039375.3
FRG2B	NM_001080998.2
RFX1	NM_002918.5
GGT2	NM_001351304.1
CDK14	NM_012395.3
VAMP8	NM_003761.5
GPR132	NM_013345.4
SPSB2	NM_032641.4
UCHL5	NM_015984.5
GZMM	NM_005317.4
EXOC6B	NM_001321729.2
CDH18	NM_004934.5
CHAF1A	NM_005483.3
GATA3	NM_001002295.2
LMOD1	NM_012134.3
PRKAR1B	NM_001164758.1
TRANK1	NM_014831.3
METRN	NM_024042.4
RAB2A	NM_001242644.1
KPNA5	NM_002269.3
SLC22A8	NM_004254.4
CRYAB	NM_001289807.1
KLK12	NM_019598.3
COL6A5	NM_153264.6
BPIFB1	NM_033197.3
RASSF10	NM_001080521.3
RINL	NM_198445.4
ATG5	NM_004849.4
PCIF1	NM_022104.4
IYD	NM_203395.3
FBXW8	NM_012174.1
PSMD1	NM_001191037.1
TMEM14C	NM_016462.4
ZNF488	NM_153034.4
MKNK2	NM_199054.2
CORO1B	NM_020441.3
GPR89B	NM_016334.5
IFNA17	NM_021268.2
NELFE	NM_002904.6
PRMT9	NM_001304458.1
SRCAP	NM_006662.3
UBXN8	NM_005671.4
MORN1	NM_024848.3
PACS2	NM_001100913.3
LYPLA1	NM_001279356.1
TRIM50	NM_178125.3
CRYBB2	NM_000496.3
SLC5A12	NM_178498.4
FGF23	NM_020638.3
RAD51AP2	NM_001099218.3
TINAG	NM_014464.4
RPL36A	NM_021029.6
TBC1D3B	NM_001001417.6
MAEA	NM_005882.5
AP1M1	NM_032493.4
SFRP5	NM_003015.3
USP17L18	NM_001256859.1
SDR9C7	NM_148897.3
ZNF569	NM_152484.3
OR9K2	NM_001005243.1
EXOSC1	NM_001318362.1
OR51D1	NM_001004751.2
IL13RA2	NM_000640.3
WRAP73	NM_017818.4
UMAD1	NM_001302348.2
FRAT2	NM_012083.3
CNTN1	NM_001843.4
GSR	NM_000637.5
ARHGEF5	NM_005435.4
HLA-DPA1	NM_033554.3
ACKR3	NM_020311.3
PGRMC1	NM_006667.5
SDHAF4	NM_145267.3
AK4	NM_013410.4
PIK3R6	NM_001010855.4
RHBDD3	NM_012265.3
TEPP	NM_199456.2
KRTAP10-12	NM_198699.1
CLCN2	NM_001171087.3
PAPOLA	NM_001252006.1
ABCB1	NM_000927.4
VIPR2	NM_003382.5
OR51S1	NM_001004758.1
SAMD8	NM_144660.3
GPA33	NM_005814.3
CD3E	NM_000733.4
EMX1	NM_004097.3
SPRR3	NM_005416.2
B9D2	NM_030578.4
SMC2	NM_001042550.2
PAEP	NM_001018049.3
DEFB124	NM_001037500.1
MFSD4A	NM_181644.5
ZSCAN10	NM_032805.3
RAB8A	NM_005370.5
PPIAL4E	NM_001144032.2
SNX3	NM_001300928.2
OR51F2	NM_001004753.2
C1QC	NM_172369.5
KRTAP5-6	NM_001012416.1
IFNGR2	NM_001329128.1
TP53TG3C	NM_001205259.2
OR2Z1	NM_001004699.2
NEDD1	NM_001135175.1
SLC25A21	NM_030631.4
ADCY7	NM_001114.5
FGF5	NM_001291812.1
IL10RB	NM_000628.5
NDUFB9	NM_005005.3
TSPY10	NM_001320962.1
TBC1D20	NM_144628.4
MSL3	NM_006800.4
NBL1	NM_005380.8
CLEC10A	NM_006344.4
ARHGAP28	NM_001010000.3
USP19	NM_006677.2
FAM71B	NM_130899.3
OR8B4	NM_001005196.1
PARPBP	NM_017915.4
GSTO2	NM_183239.2
EPB42	NM_000119.3
NEXMIF	NM_001008537.3
GEMIN2	NM_001009182.1
OR5D14	NM_001004735.1
LRRFIP1	NM_004735.4
SOCS1	NM_003745.1
WDSUB1	NM_152528.3
FBXO15	NM_152676.3
GBP1	NM_002053.3
NLRP7	NM_139176.3
WNK1	NM_018979.4
GDPD3	NM_024307.3
CEP192	NM_032142.4
UNCX	NM_001080461.3
SLFN12L	NM_001195790.1
H2AJ	NM_177925.3
CMPK2	NM_207315.3
ESYT3	NM_031913.5
PKN2	NM_006256.4
JUN	NM_002228.4
C8G	NM_000606.3
ZC3H12C	NM_033390.2
CCDC107	NM_174923.3
CEP43	NM_007045.4
LAMTOR1	NM_017907.3
EDDM13	NM_001354658.2
CLDN24	NM_001185149.1
C16orf87	NM_001001436.4
KCNH8	NM_144633.3
TMEM262	NM_001282448.1
CRYGS	NM_017541.4
ANKRD35	NM_144698.5
NGFR	NM_002507.4
SORCS2	NM_020777.3
CACNA1B	NM_000718.4
SLCO2A1	NM_005630.3
CPT2	NM_000098.3
ZNF341	NM_001282933.2
P3H1	NM_022356.4
NTAN1	NM_173474.4
KRTAP10-4	NM_198687.2
OR14K1	NM_001004732.2
RRAGC	NM_022157.4
OTULINL	NM_019018.3
UCHL1	NM_004181.5
PGK1	NM_000291.4
BANP	NM_017869.4
ABCC12	NM_033226.2
OR1Q1	NM_012364.1
TBX15	NM_152380.3
OR5P2	NM_153444.1
ALPL	NM_000478.6
EIF4A1	NM_001416.4
KRTAP4-12	NM_031854.3
MIER1	NM_020948.4
OXSM	NM_017897.3
AMN1	NM_001113402.2
ITGA2B	NM_000419.5
NENF	NM_013349.5
MAFA	NM_201589.4
ZSCAN2	NM_017894.6
FNDC4	NM_022823.3
TMEM210	NM_001282477.2
PIK3CA	NM_006218.4
ATG4D	NM_032885.6
CADM1	NM_014333.4
LPIN1	NM_145693.4
RBM43	NM_198557.3
P2RX7	NM_002562.6
ETS2	NM_001256295.2
POU5F2	NM_153216.2
PSMC4	NM_006503.4
BRK1	NM_018462.5
NLRP12	NM_144687.3
PFN4	NM_199346.3
DNMT3A	NM_022552.4
SLC26A5	NM_198999.3
OR10C1	NM_013941.3
TRIB1	NM_025195.4
NDUFAF6	NM_152416.4
NOP10	NM_018648.3
FSCN2	NM_012418.4
TCTEX1D2	NM_152773.5
ADGRG2	NM_001079858.3
IL1A	NM_000575.5
SEC61G	NM_014302.4
RFESD	NM_173362.3
TSPAN1	NM_005727.4
RNF7	NM_014245.5
SLIT1	NM_003061.3
ZNF584	NM_173548.3
DIPK1A	NM_001006605.5
ZBTB42	NM_001137601.3
MFSD9	NM_032718.5
CLCNKB	NM_000085.5
WDR55	NM_017706.4
PDIA3	NM_005313.5
EML5	NM_183387.3
GPRIN1	NM_052899.3
IL3RA	NM_001267713.1
OSTF1	NM_012383.5
CLEC1B	NM_016509.3
NDFIP2	NM_001161407.1
ESAM	NM_138961.3
NT5DC4	NM_001350494.2
FUBP3	NM_003934.2
WWTR1	NM_015472.6
MYT1L	NM_015025.4
SIGLEC12	NM_053003.4
OR51B2	NM_033180.4
PARD3B	NM_057177.7
MMP13	NM_002427.4
LGALSL	NM_014181.3
DICER1	NM_030621.4
DMXL2	NM_015263.4
LUC7L2	NM_016019.5
CHRNB4	NM_000750.5
SOX10	NM_006941.4
TTC23L	NM_144725.4
CENPX	NM_144998.4
IGDCC3	NM_004884.4
ERLIN1	NM_006459.4
RSPO4	NM_001029871.4
MIS18A	NM_018944.3
PAMR1	NM_015430.4
PDAP1	NM_014891.7
MT1F	NM_005949.4
PSCA	NM_005672.5
GALNT16	NM_001168368.2
CDC42BPA	NM_014826.5
STEAP2	NM_152999.4
ARHGAP20	NM_020809.3
CCDC74A	NM_138770.4
ACSBG2	NM_030924.5
GTPBP10	NM_033107.4
CDKN2AIPNL	NM_080656.3
UBE2E2	NM_152653.4
ITPR2	NM_002223.4
AGBL4	NM_032785.4
CFL2	NM_138638.5
CLEC19A	NM_001256720.2
WDR3	NM_006784.3
PCYOX1	NM_016297.4
RNF180	NM_178532.4
EPS8L1	NM_017729.3
PPP3CB	NM_021132.4
ABHD8	NM_024527.5
C20orf96	NM_153269.3
HEXA	NM_000520.6
ZNF35	NM_003420.4
OLIG2	NM_005806.4
ATP6V0A1	NM_001130020.2
EEF1AKNMT	NM_014955.3
RIC3	NM_024557.6
SLC2A3	NM_006931.3
C1orf87	NM_152377.3
NR2E3	NM_014249.4
VRK1	NM_003384.3
TTF1	NM_007344.4
BST2	NM_004335.4
ATP8B4	NM_024837.4
DIPK2B	NM_024689.3
ATP7A	NM_000052.7
L1CAM	NM_024003.3
RHAG	NM_000324.3
TSPAN11	NM_001080509.2
ZNF438	NM_182755.2
GPRIN2	NM_014696.4
DNAI3	NM_145172.5
PELP1	NM_014389.3
DDX42	NM_007372.3
SLFN11	NM_152270.4
POTEF	NM_001099771.2
ZNF33B	NM_006955.3
OR2T34	NM_001001821.1
PLEKHB1	NM_001130033.2
SV2A	NM_001278719.1
WDR7	NM_015285.2
SPATA9	NM_031952.4
RNF41	NM_005785.4
TGFBR2	NM_001024847.2
EPHX1	NM_000120.4
ZNF451	NM_015555.2
S1PR1	NM_001400.5
IQGAP2	NM_006633.4
LMOD2	NM_207163.3
TOM1L1	NM_005486.3
PLAGL1	NM_001080951.3
LZIC	NM_032368.5
SCARF2	NM_153334.7
GPR160	NM_014373.3
GABARAPL1	NM_001363598.2
HACD3	NM_016395.4
ZFP62	NM_152283.4
TBC1D8B	NM_017752.3
GABRR2	NM_002043.5
FARS2	NM_006567.5
TMOD2	NM_001142885.2
ZNF345	NM_001242472.2
CBLL2	NM_152577.3
SYK	NM_001135052.4
KRTAP10-2	NM_198693.4
ANKRA2	NM_023039.5
DCPS	NM_014026.6
RAB6D	NM_001077637.1
PPP1R3A	NM_002711.4
SOGA1	NM_199181.2
FLOT2	NM_004475.3
ACACA	NM_198836.2
PDE1A	NM_001003683.2
TMEM128	NM_032927.3
SHE	NM_001010846.3
ASIC5	NM_017419.3
VSIG10	NM_019086.6
STUM	NM_001003665.4
HS6ST1	NM_004807.3
CTAGE9	NM_001145659.1
HIP1R	NM_003959.3
G6PC	NM_000151.4
CSNK2B	NM_001320.6
TEX53	NM_001354645.2
NDEL1	NM_030808.5
MLYCD	NM_012213.3
JAML	NM_153206.3
RBM41	NM_018301.5
GNAS	NM_000516.6
SEMA4A	NM_022367.4
SAAL1	NM_138421.3
INHBC	NM_005538.4
SAC3D1	NM_013299.4
C22orf42	NM_001010859.3
REEP2	NM_016606.4
DNASE1L1	NM_001009932.2
TCF12	NM_003205.4
C8orf49	NM_001031839.2
CEP290	NM_025114.4
PHOX2B	NM_003924.4
ZW10	NM_004724.4
THRB	NM_000461.5
ZNF257	NM_001316996.2
THOP1	NM_003249.5
MTERF1	NM_006980.5
TRIM13	NM_001007278.3
BGN	NM_001711.6
FBXO5	NM_001142522.3
SH3BP2	NM_003023.4
UBE2E1	NM_003341.5
GPC3	NM_004484.4
WDR5	NM_052821.3
MYO5C	NM_018728.4
PCDHGC3	NM_002588.4
TENT5D	NM_152630.4
SAR1A	NM_001142648.2
ZNF593	NM_015871.5
SGK1	NM_001143676.1
ZBBX	NM_024687.3
HID1	NM_030630.3
ICAM2	NM_000873.3
GALNT5	NM_014568.3
ITFG1	NM_030790.5
SLFN13	NM_144682.6
POFUT2	NM_015227.6
RPL10L	NM_080746.3
NFKB2	NM_001077494.3
IRS1	NM_005544.2
PIH1D2	NM_138789.3
VNN1	NM_004666.3
GOSR2	NM_001012511.2
FSTL1	NM_007085.5
OR5M9	NM_001004743.1
CCDC122	NM_144974.5
NUP85	NM_024844.5
SLF2	NM_001136123.2
SMIM3	NM_032947.4
COL19A1	NM_001858.6
PRPS2	NM_002765.4
PLCXD3	NM_001005473.3
EIF3H	NM_003756.3
CHAT	NM_020549.4
YBX1	NM_004559.5
MRPS26	NM_030811.4
SLC25A24	NM_013386.5
CDC23	NM_004661.4
CCR9	NM_001256369.1
HNRNPF	NM_001098204.1
ZFP36	NM_003407.5
OR10G9	NM_001001953.1
ZDHHC9	NM_016032.4
SAP30BP	NM_013260.8
MSL1	NM_001012241.2
SETD3	NM_032233.3
MYRIP	NM_015460.4
GSTT2B	NM_001080843.3
DHRS7	NM_016029.4
FABP6	NM_001040442.1
SCEL	NM_144777.3
MSGN1	NM_001105569.3
SLC24A4	NM_153646.3
KCNA3	NM_002232.5
SRSF10	NM_006625.6
TM6SF1	NM_023003.5
ZNF133	NM_003434.7
ESR2	NM_001040275.1
IAH1	NM_001039613.3
MYO9B	NM_001130065.2
H2BC9	NM_003524.2
GSTA5	NM_153699.1
KLF15	NM_014079.4
MCTS1	NM_014060.3
FAM219A	NM_001184940.2
ASXL1	NM_015338.6
FAM122C	NM_138819.4
MRPS14	NM_022100.3
SRGAP3	NM_001033117.3
OR2H2	NM_007160.3
SLC7A2	NM_003046.6
PAQR7	NM_178422.5
CCDC3	NM_031455.4
RNF133	NM_139175.2
SEMA5B	NM_001031702.4
BBOX1	NM_003986.3
SOX12	NM_006943.3
ST7L	NM_001308264.2
GLRA2	NM_001118885.1
HOXC11	NM_014212.4
ATP5MC2	NM_005176.7
ZNF516	NM_014643.4
SOCS5	NM_014011.4
NPFFR2	NM_004885.2
DPT	NM_001937.5
PPP1R3E	NM_001276318.2
IBSP	NM_004967.4
ZMIZ2	NM_031449.4
IQCF1	NM_152397.3
OR8K5	NM_001004058.2
